incident_id,incident_date,state,city_or_county,address,victims_killed,victims_injured,suspects_killed,suspects_injured,suspects_arrested,incident_url,source_url
3245191,"June 15, 2025",Pennsylvania,Johnstown,74 Fairfield Ave,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3245191,https://www.wtaj.com/news/the-tribune-democrat/johnstown-police-search-for-suspect-after-4-women-shot-at-new-nightclub/
3233803,"June 15, 2025",Indiana,Elkhart,W Garfield Ave and Benham Ave,1,11,0,0,0,https://www.gunviolencearchive.org/incident/3233803,https://www.southbendtribune.com/story/news/local/2025/06/16/dozen-injured-in-elkhart-mass-shooting-30-year-old-man-dead/84228362007/
3233357,"June 15, 2025",Michigan,Detroit,N/A,0,5,0,0,0,https://www.gunviolencearchive.org/incident/3233357,https://x.com/DetroitScanner/status/1934116033901564386
3233175,"June 14, 2025",Nevada,Reno,Raggio Pkwy,1,4,0,0,0,https://www.gunviolencearchive.org/incident/3233175,https://www.kolotv.com/2025/06/14/police-search-suspect-after-18-year-old-dies-north-reno-shooting/
3233431,"June 14, 2025",Tennessee,Nashville,Westchester Dr and Brick Church Pike,1,4,0,0,1,https://www.gunviolencearchive.org/incident/3233431,https://fox17.com/news/local/from-trip-to-horror-4-year-old-killed-family-reeling-after-weekend-shooting-in-madison-murder-in-tennessee-family-shot-at-google-news
3233889,"June 14, 2025",Missouri,Kansas City,3500 Prospect Ave,2,3,0,0,0,https://www.gunviolencearchive.org/incident/3233889,https://www.kctv5.com/2025/07/03/second-shooting-victim-dies-35th-prospect-homicide-case-suspect-remains-at-large/
3232732,"June 14, 2025",Minnesota,Minneapolis (Brooklyn Park),8710 Windsor Terrace N,2,2,0,0,1,https://www.gunviolencearchive.org/incident/3232732,https://www.cnn.com/2025/07/15/us/vance-luther-boelter-charges-minnesota
3238280,"June 14, 2025",Mississippi,Greenville,1500 block of S Colorado St,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3238280,https://www.deltadailynews.com/local/four-injured-in-late-night-shooting-in-greenville
3233274,"June 14, 2025",Ohio,Columbus,S Ludlow St and W Town St,1,6,0,0,0,https://www.gunviolencearchive.org/incident/3233274,https://www.10tv.com/article/news/local/mohamed-fofona-charged-with-murder-downtown-columbus-shooting/530-9e660f5a-84f5-46f8-9cb5-877440fecaf7
3232994,"June 14, 2025",Delaware,Dover,400 block of Barrister Pl,1,4,0,0,1,https://www.gunviolencearchive.org/incident/3232994,https://www.wgmd.com/early-morning-shooting-in-dover-leaves-1-dead-and-4-injured/
3231555,"June 11, 2025",Michigan,Detroit,14300 block of Mettetal St,0,4,0,0,1,https://www.gunviolencearchive.org/incident/3231555,https://www.cbsnews.com/detroit/news/4-injured-barbecue-party-detroit-june-11/
3231819,"June 11, 2025",Florida,Jacksonville,5020 Cleveland Rd,1,3,0,0,1,https://www.gunviolencearchive.org/incident/3231819,https://www.actionnewsjax.com/news/local/jso-arrests-man-accused-killing-18-year-old-june-shooting/ZXD7IQ7ZKJAYNFV54RBUAIVMNY/
3231072,"June 9, 2025",Georgia,Augusta,2101 Walton Way,0,4,0,0,0,https://www.gunviolencearchive.org/incident/3231072,https://www.wfxg.com/news/four-injured-in-shooting-at-bon-air-apartments/article_bd6e5a94-13cb-4cfc-a644-7fba7d1c723d.html
3229184,"June 9, 2025",District of Columbia,Washington,1200 block of Mt Olivet Rd NE,1,3,0,0,0,https://www.gunviolencearchive.org/incident/3229184,https://wjla.com/news/local/dc-shootings-one-dead-lebaum-street-benning-road-mount-olivet-area-deadly-incidents-metropolitan-police-department-investigation-gunfire-shots-fired-violence-crime-public-safety-accountability
